country_iso3,year,pillar_code,trajectory_class,trajectory_signal,intervention_family_label,country_sovereign_alert_level
KEN,2024,PMIN,ACCELERATING,ACCELERATION_SIGNAL,Chaîne de valeur minière,YELLOW
KEN,2024,PMON,STABLE,STABILITY_SIGNAL,Résilience monétaire et financière,YELLOW
KEN,2024,PNUM,ACCELERATING,ACCELERATION_SIGNAL,Souveraineté numérique,YELLOW
KEN,2024,PRES,STABLE,STABILITY_SIGNAL,Certification énergie-eau,YELLOW
KEN,2024,PTRA,DECLINING,DETERIORATION_ALERT,Transport et logistique,YELLOW
LBR,2024,PECO,DECLINING,DECLINE_SIGNAL,Diversification économique,YELLOW
LBR,2024,PENV,CRITICAL,DETERIORATION_ALERT,Résilience environnementale,YELLOW
LBR,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
LBR,2024,PHUM,DECLINING,DECLINE_SIGNAL,Capital humain,YELLOW
LBR,2024,PMIL,CRITICAL,DETERIORATION_ALERT,Résilience sécuritaire,YELLOW
LBR,2024,PMIN,PROGRESSING,PROGRESSION_SIGNAL,Chaîne de valeur minière,YELLOW
LBR,2024,PMON,DECLINING,DETERIORATION_ALERT,Résilience monétaire et financière,YELLOW
LBR,2024,PNUM,DECLINING,DETERIORATION_ALERT,Souveraineté numérique,YELLOW
LBR,2024,PRES,ACCELERATING,ACCELERATION_SIGNAL,Certification énergie-eau,YELLOW
LBR,2024,PTRA,CRITICAL,DETERIORATION_ALERT,Transport et logistique,YELLOW
LBY,2024,PECO,DECLINING,DECLINE_SIGNAL,Diversification économique,YELLOW
LBY,2024,PENV,DECLINING,DETERIORATION_ALERT,Résilience environnementale,YELLOW
LBY,2024,PGEO,STABLE,STABILITY_SIGNAL,Gouvernance géopolitique et stabilité,YELLOW
LBY,2024,PHUM,DECLINING,DECLINE_SIGNAL,Capital humain,YELLOW
LBY,2024,PMIL,CRITICAL,DETERIORATION_ALERT,Résilience sécuritaire,YELLOW
LBY,2024,PMIN,STABLE,STABILITY_SIGNAL,Chaîne de valeur minière,YELLOW
LBY,2024,PMON,CRITICAL,DECLINE_SIGNAL,Résilience monétaire et financière,YELLOW
LBY,2024,PNUM,DECLINING,DETERIORATION_ALERT,Souveraineté numérique,YELLOW
LBY,2024,PRES,CRITICAL,DETERIORATION_ALERT,Certification énergie-eau,YELLOW
LBY,2024,PTRA,CRITICAL,DETERIORATION_ALERT,Transport et logistique,YELLOW
LSO,2024,PECO,PROGRESSING,PROGRESSION_SIGNAL,Diversification économique,YELLOW
LSO,2024,PENV,DECLINING,DETERIORATION_ALERT,Résilience environnementale,YELLOW
