country_iso3,year,region_code,region_label,annual_direction,amar_risk_band,nb_pillars_observed,publication_status
ZAF,2021,AFS,Afrique Australe,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
ZAF,2022,AFS,Afrique Australe,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
ZAF,2023,AFS,Afrique Australe,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
ZAF,2024,AFS,Afrique Australe,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
ZMB,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
ZMB,2021,AFE,Afrique de l'Est,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
ZMB,2022,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
ZMB,2023,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
ZMB,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
ZWE,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
ZWE,2021,AFE,Afrique de l'Est,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
ZWE,2022,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
ZWE,2023,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
ZWE,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
