country_iso3,year,region_code,region_label,annual_direction,amar_risk_band,nb_pillars_observed,publication_status
CPV,2023,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
CPV,2024,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
DJI,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
DJI,2021,AFE,Afrique de l'Est,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
DJI,2022,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
DJI,2023,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
DJI,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
DZA,2020,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
DZA,2021,AFN,Afrique du Nord,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
DZA,2022,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
DZA,2023,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
DZA,2024,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
EGY,2020,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
EGY,2021,AFN,Afrique du Nord,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
EGY,2022,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
EGY,2023,AFN,Afrique du Nord,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
EGY,2024,AFN,Afrique du Nord,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
ERI,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
ERI,2021,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
ERI,2022,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
ERI,2023,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
ERI,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
ETH,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
ETH,2021,AFE,Afrique de l'Est,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
ETH,2022,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
ETH,2023,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
ETH,2024,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
GAB,2020,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
GAB,2021,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
GAB,2022,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
GAB,2023,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
GAB,2024,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
GHA,2020,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
GHA,2021,AFW,Afrique de l'Ouest,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
GHA,2022,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
GHA,2023,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
GHA,2024,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
GIN,2020,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
GIN,2021,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
GIN,2022,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
GIN,2023,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
GIN,2024,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
GMB,2020,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
GMB,2021,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
GMB,2022,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
GMB,2023,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
GMB,2024,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
GNB,2020,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
GNB,2021,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
GNB,2022,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
GNB,2023,AFW,Afrique de l'Ouest,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
GNB,2024,AFW,Afrique de l'Ouest,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
GNQ,2020,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
GNQ,2021,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
GNQ,2022,AFC,Afrique Centrale,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
GNQ,2023,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
GNQ,2024,AFC,Afrique Centrale,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
KEN,2020,AFE,Afrique de l'Est,STABLE,YELLOW,10,OFFICIAL_CONSOLIDATED
KEN,2021,AFE,Afrique de l'Est,IMPROVING,YELLOW,10,OFFICIAL_CONSOLIDATED
KEN,2022,AFE,Afrique de l'Est,DETERIORATING,YELLOW,10,OFFICIAL_CONSOLIDATED
